N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
77,쌍용양회,"7,640",90,+1.19%,100,"38,495","503,860",3.60,"4,589,867",27.88,7.92,
78,한진칼,"57,800",800,-1.37%,"2,500","38,300","66,263",15.47,"36,153",-12.91,-19.55,
79,GS건설,"44,750","1,300",+2.99%,"5,000","38,257","85,491",26.05,"1,116,849",11.50,7.68,
80,한미약품,"315,000","2,000",-0.63%,"2,500","38,047","12,078",13.34,"19,382",318.18,1.65,
81,한국항공우주,"37,550",150,+0.40%,"5,000","36,602","97,475",13.67,"516,930",49.02,6.39,
82,GS,"38,850",100,-0.26%,"5,000","36,098","92,915",18.06,"130,574",-15.16,-2.82,
83,롯데쇼핑,"127,000",0,0.00%,"5,000","35,927","28,289",12.28,"42,671",-4.57,-7.70,
84,팬오션,"6,670",160,-2.34%,"1,000","35,656","534,570",10.60,"7,686,546",38.55,3.25,
85,현대차2우B,"97,500",200,-0.20%,"5,000","35,573","36,485",60.65,"44,422",18.96,N/A,
86,롯데지주,"33,750",100,+0.30%,200,"35,407","104,909",10.93,"70,152",-18.01,-3.03,
87,삼성증권,"39,200",50,-0.13%,"5,000","35,006","89,300",27.08,"142,678",7.44,8.15,
88,두산퓨얼셀,"52,300","1,400",+2.75%,100,"34,253","65,494",18.51,"474,759",270.98,4.18,
89,호텔신라,"86,500",700,-0.80%,"5,000","33,950","39,248",18.44,"218,139",-12.21,-36.74,
90,DB손해보험,"45,800",300,+0.66%,500,"32,426","70,800",42.08,"86,649",5.83,6.92,
91,대우조선해양,"30,100","1,650",+5.80%,"5,000","32,294","107,291",9.08,"1,295,155",37.30,2.27,
92,키움증권,"124,000","3,000",-2.36%,"5,000","32,238","25,998",23.00,"121,400",5.47,16.97,
93,NH투자증권,"11,450",50,-0.43%,"5,000","32,221","281,409",16.46,"319,295",5.96,10.32,
94,씨에스윈드,"76,100","1,400",+1.87%,500,"32,092","42,171",9.92,"498,016",90.06,8.19,
95,일진머티리얼즈,"68,000","1,100",+1.64%,500,"31,355","46,111",9.06,"272,502",70.54,8.52,
96,동서,"31,350","1,550",-4.71%,500,"31,256","99,700",3.96,"182,357",26.70,8.61,
